 !	exclam
 Η	Eta
 Ζ	Zeta
 α	alpha
 β	beta
 ξ	xi
 δ	delta
 ε	epsilon
 φ	phi
 ϕ	phi1
 γ	gamma
 θ	theta
 ϑ	theta1
 ι	iota
 κ	kappa
 λ	lambda
 μ	mu
 ν	nu
 ο	omicron
 π	pi
 ϖ	omega1
 ψ	psi
 ρ	rho
 σ	sigma
 τ	tau
 υ	upsilon
 ω	omega
 χ	chi
 η	eta
 ζ	zeta
 ς	sigma1
 ≈	approxequal
 ≈	approxequal
 ≠	notequal
 ∗	asteriskmath
 ±	plusminus
 ≤	lessequal
 ≡	equivalence
 ≅	congruent
 ≥	greaterequal
 ∧	logicaland
 ∨	logicalor
 ¬	logicalnot
 ∃	existential
 ∀	universal
 ℵ	aleph
 ℑ	Ifraktur
 ℜ	Rfraktur
 ∞	infinity
 ∈	element
 ×	multiply
 ∉	notelement
 +	plusmath
 =	equalmath
 ∝	proportional
 ⊥	perpendicular
 ⊂	propersubset
 ⊃	propersuperset
 ⊆	reflexsubset
 ⊇	reflexsuperset
 ∼	similar
 ∫	integral
 √	radical
 ∂	partialdiff
 ⊗	circlemultiply
 ⊕	circleplus
 ∩	intersection
 ∪	union
 ÷	divide
 ∇	gradient
 ∅	emptyset
 ␍	carriagereturn
 ∋	suchthat
 ∠	angle
 ℘	weierstrass
 ◊	lozenge
 ─	arrowhorizex
